2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: CheKovLogger started
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: BAM-File: '/Users/dboehm/Downloads/Ot3200/Ot3200_Rerun_Petra.Stoebe_300-520_hEx-NV2_100X_07232012-reads-index47_TCGAAG_L001_R1_001.fastq_MERGED.marked.realigned.fixed.recal.bam'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: BED-File: '/Users/dboehm/Downloads/ROI/HPS/HPS_Intervals_CDS_UCSC_wided30_merged.bed'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: Reference-File: '/Users/dboehm/Downloads/BIN/reference_DB/NCBI_GRCh37.fa'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: Outfile: '/Users/dboehm/Downloads/Ot3200/Ot3200_out.txt'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: missed-File: '/Users/dboehm/Downloads/Ot3200/Ot3200_missed.bed'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: Homopolymer-File: '/Users/dboehm/Downloads/Ot3200/Ot3200_homo.bed'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: UnderOutFile:'/Users/dboehm/Downloads/Ot3200/Ot3200_under20.bed'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: UnderCovCutOffValue:'30'
2013-Mrz-72 08:14:04 INFO  [main] algorithm.CheKov: IntervalList made ....111 in 0.012665 s
2013-Mrz-72 08:14:13 INFO  [main] algorithm.CheKov: 1,000,000 0 1,000,000  8.66 s  12,069 alteredNucleotidePositionsEntries
2013-Mrz-72 08:14:20 INFO  [main] algorithm.CheKov: 2,000,000 0 2,000,000  7.85 s  24,043 alteredNucleotidePositionsEntries
2013-Mrz-72 08:14:30 INFO  [main] algorithm.CheKov: 3,000,000 0 3,000,000  9.09 s  36,138 alteredNucleotidePositionsEntries
2013-Mrz-72 08:14:38 INFO  [main] algorithm.CheKov: 4,000,000 0 4,000,000  8.34 s  46,912 alteredNucleotidePositionsEntries
2013-Mrz-72 08:14:45 INFO  [main] algorithm.CheKov: 5,000,000 0 5,000,000  7.39 s  55,645 alteredNucleotidePositionsEntries
2013-Mrz-72 08:14:53 INFO  [main] algorithm.CheKov: 6,000,000 0 6,000,000  7.67 s  66,590 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:01 INFO  [main] algorithm.CheKov: 7,000,000 0 7,000,000  8.21 s  78,416 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:09 INFO  [main] algorithm.CheKov: 8,000,000 0 8,000,000  8.23 s  90,368 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:18 INFO  [main] algorithm.CheKov: 9,000,000 0 9,000,000  8.45 s  102,642 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:26 INFO  [main] algorithm.CheKov: 10,000,000 0 10,000,000  8.61 s  115,260 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:35 INFO  [main] algorithm.CheKov: 11,000,000 0 11,000,000  9.04 s  126,914 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:44 INFO  [main] algorithm.CheKov: 12,000,000 0 12,000,000  8.12 s  137,397 alteredNucleotidePositionsEntries
2013-Mrz-72 08:15:52 INFO  [main] algorithm.CheKov: 13,000,000 0 13,000,000  8.52 s  149,068 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:01 INFO  [main] algorithm.CheKov: 14,000,000 0 14,000,000  8.57 s  160,433 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:09 INFO  [main] algorithm.CheKov: 15,000,000 0 15,000,000  8.23 s  172,525 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:17 INFO  [main] algorithm.CheKov: 16,000,000 0 16,000,000  7.98 s  184,802 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:25 INFO  [main] algorithm.CheKov: 17,000,000 0 17,000,000  8.00 s  196,599 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:33 INFO  [main] algorithm.CheKov: 18,000,000 0 18,000,000  8.19 s  209,209 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:41 INFO  [main] algorithm.CheKov: 19,000,000 0 19,000,000  8.24 s  220,988 alteredNucleotidePositionsEntries
2013-Mrz-72 08:16:51 INFO  [main] algorithm.CheKov: 20,000,000 0 20,000,000  9.71 s  232,999 alteredNucleotidePositionsEntries
2013-Mrz-72 08:17:04 INFO  [main] algorithm.CheKov: 21,000,000 0 21,000,000 12.83 s  245,374 alteredNucleotidePositionsEntries
2013-Mrz-72 08:17:17 INFO  [main] algorithm.CheKov: 22,000,000 0 22,000,000 13.31 s  258,390 alteredNucleotidePositionsEntries
2013-Mrz-72 08:17:31 INFO  [main] algorithm.CheKov: 23,000,000 0 23,000,000 14.02 s  272,997 alteredNucleotidePositionsEntries
2013-Mrz-72 08:17:44 INFO  [main] algorithm.CheKov: 24,000,000 0 24,000,000 13.22 s  285,117 alteredNucleotidePositionsEntries
2013-Mrz-72 08:17:58 INFO  [main] algorithm.CheKov: 25,000,000 0 25,000,000 13.51 s  297,717 alteredNucleotidePositionsEntries
2013-Mrz-72 08:18:12 INFO  [main] algorithm.CheKov: 26,000,000 0 26,000,000 13.64 s  311,250 alteredNucleotidePositionsEntries
2013-Mrz-72 08:18:25 INFO  [main] algorithm.CheKov: 27,000,000 0 27,000,000 13.45 s  323,967 alteredNucleotidePositionsEntries
2013-Mrz-72 08:18:38 INFO  [main] algorithm.CheKov: 28,000,000 0 28,000,000 12.97 s  335,640 alteredNucleotidePositionsEntries
2013-Mrz-72 08:18:51 INFO  [main] algorithm.CheKov: 29,000,000 0 29,000,000 12.98 s  347,924 alteredNucleotidePositionsEntries
